"","From","Entry","Gene.Names","Protein.names","Protein.existence","Annotation","Gene.Ontology..GO.","Gene.Ontology.IDs","Gene.encoded.by"
"292","A0A1E1GEW8","A0A1E1GEW8","cd5l AIM","CD5 antigen-like","Evidence at transcript level","1","membrane [GO:0016020]","GO:0016020",NA
"293","Q76B49","Q76B49","CD63","CD63 antigen (CD antigen CD63)","Evidence at transcript level","4","cell surface [GO:0009986]; extracellular region [GO:0005576]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; multivesicular body membrane [GO:0032585]; multivesicular body, internal vesicle [GO:0097487]; plasma membrane [GO:0005886]; cell migration [GO:0016477]; cell-matrix adhesion [GO:0007160]; endosome to melanosome transport [GO:0035646]; pigment granule maturation [GO:0048757]; positive regulation of integrin-mediated signaling pathway [GO:2001046]; positive regulation of receptor internalization [GO:0002092]; protein transport [GO:0015031]; regulation of vascular endothelial growth factor signaling pathway [GO:1900746]","GO:0002092; GO:0005576; GO:0005765; GO:0005886; GO:0007160; GO:0009986; GO:0015031; GO:0016477; GO:0031902; GO:0032585; GO:0035646; GO:0042470; GO:0048757; GO:0097487; GO:1900746; GO:2001046",NA
"294","A0A2I2UTM6","A0A2I2UTM6","CD69","CD69 molecule","Predicted","1","external side of plasma membrane [GO:0009897]; protein-containing complex [GO:0032991]; carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]","GO:0009897; GO:0030246; GO:0032991; GO:0042802",NA
"295","A0A5F5XTX9","A0A5F5XTX9","CD80","CD80 molecule","Predicted","1","membrane [GO:0016020]","GO:0016020",NA
"296","A0A337S8U6","A0A337S8U6","CD81","CD81 molecule","Inferred from homology","1","plasma membrane [GO:0005886]","GO:0005886",NA
"297","A0A337SBU9","A0A337SBU9","CD82","Tetraspanin","Inferred from homology","2","membrane [GO:0016020]","GO:0016020",NA
"298","A0A337S2I4","A0A337S2I4","CD84","CD84 molecule","Predicted","1","membrane [GO:0016020]","GO:0016020",NA
"299","P40239","P40239","CD9","CD9 antigen (CD antigen CD9)","Evidence at transcript level","4","extracellular region [GO:0005576]; membrane [GO:0016020]; plasma membrane [GO:0005886]; integrin binding [GO:0005178]; cell adhesion [GO:0007155]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342]; myoblast fusion involved in skeletal muscle regeneration [GO:0014905]; negative regulation of platelet aggregation [GO:0090331]; paranodal junction assembly [GO:0030913]; receptor internalization [GO:0031623]; single fertilization [GO:0007338]; sperm-egg recognition [GO:0035036]","GO:0005178; GO:0005576; GO:0005886; GO:0007155; GO:0007338; GO:0007342; GO:0014905; GO:0016020; GO:0030913; GO:0031623; GO:0035036; GO:0071404; GO:0090331",NA
"300","A0A5F5XPS6","A0A5F5XPS6","CD93","CD93 molecule","Predicted","2","cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; complement component C1q complex binding [GO:0001849]; cell-cell adhesion [GO:0098609]","GO:0001849; GO:0005509; GO:0005886; GO:0009986; GO:0031410; GO:0098609",NA
"301","A0A337S9J3","A0A337S9J3","CD99L2","CD99 antigen-like protein 2","Inferred from homology","2","adherens junction [GO:0005912]; cell surface [GO:0009986]; plasma membrane [GO:0005886]; diapedesis [GO:0050904]; positive regulation of neutrophil extravasation [GO:2000391]; positive regulation of T cell extravasation [GO:2000409]","GO:0005886; GO:0005912; GO:0009986; GO:0050904; GO:2000391; GO:2000409",NA
"302","A0A337SRW5","A0A337SRW5","CDC42","Cell division control protein 42 homolog (EC 3.6.5.2)","Inferred from homology","3","centrosome [GO:0005813]; dendritic spine [GO:0043197]; midbody [GO:0030496]; plasma membrane [GO:0005886]; G protein activity [GO:0003925]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901]; actin filament organization [GO:0007015]; anatomical structure morphogenesis [GO:0009653]; Cdc42 protein signal transduction [GO:0032488]; endocytosis [GO:0006897]; establishment or maintenance of cell polarity [GO:0007163]; positive regulation of cellular component organization [GO:0051130]; regulation of filopodium assembly [GO:0051489]","GO:0003924; GO:0003925; GO:0005525; GO:0005813; GO:0005886; GO:0006897; GO:0007015; GO:0007163; GO:0009653; GO:0019901; GO:0030496; GO:0032488; GO:0043197; GO:0051130; GO:0051489",NA
"303","A0A5F5XFC6","A0A5F5XFC6","CDC5L","Cell division cycle 5 like","Inferred from homology","2","Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; DNA binding [GO:0003677]; mRNA splicing, via spliceosome [GO:0000398]","GO:0000398; GO:0000974; GO:0003677; GO:0005681",NA
"304","A0A337SG59","A0A337SG59","CDH1","Cadherin-1 (Epithelial cadherin)","Predicted","5","adherens junction [GO:0005912]; apical junction complex [GO:0043296]; catenin complex [GO:0016342]; cortical actin cytoskeleton [GO:0030864]; cytoplasmic side of plasma membrane [GO:0009898]; flotillin complex [GO:0016600]; lamellipodium [GO:0030027]; lateral plasma membrane [GO:0016328]; perinuclear region of cytoplasm [GO:0048471]; trans-Golgi network [GO:0005802]; ankyrin binding [GO:0030506]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; gamma-catenin binding [GO:0045295]; GTPase activating protein binding [GO:0032794]; identical protein binding [GO:0042802]; adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell migration [GO:0016477]; cell morphogenesis [GO:0000902]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; cellular response to indole-3-methanol [GO:0071681]; cellular response to lithium ion [GO:0071285]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of cell migration [GO:0030336]; negative regulation of cell-cell adhesion [GO:0022408]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of protein import into nucleus [GO:0042307]; protein localization to plasma membrane [GO:0072659]; synapse assembly [GO:0007416]","GO:0000902; GO:0005509; GO:0005802; GO:0005912; GO:0007043; GO:0007156; GO:0007416; GO:0008013; GO:0009898; GO:0016328; GO:0016339; GO:0016342; GO:0016477; GO:0016600; GO:0022408; GO:0030027; GO:0030336; GO:0030506; GO:0030864; GO:0032794; GO:0034332; GO:0042307; GO:0042802; GO:0043296; GO:0044331; GO:0045295; GO:0045296; GO:0045893; GO:0048471; GO:0071285; GO:0071681; GO:0072659",NA
"305","A0A337S5G0","A0A337S5G0","CDH1","Cadherin-1 (Epithelial cadherin)","Predicted","3","Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","GO:0005509; GO:0005794; GO:0005886; GO:0007156",NA
"306","M3W046","M3W046","CDH11","Cadherin 11","Predicted","3","adherens junction [GO:0005912]; catenin complex [GO:0016342]; cytoplasm [GO:0005737]; glutamatergic synapse [GO:0098978]; Schaffer collateral - CA1 synapse [GO:0098685]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell migration [GO:0016477]; cell morphogenesis [GO:0000902]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; corticospinal tract morphogenesis [GO:0021957]; focal adhesion assembly [GO:0048041]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of cell migration [GO:0030336]","GO:0000902; GO:0005509; GO:0005737; GO:0005912; GO:0007043; GO:0007156; GO:0008013; GO:0016339; GO:0016342; GO:0016477; GO:0021957; GO:0030336; GO:0034332; GO:0044331; GO:0045296; GO:0048041; GO:0050804; GO:0098685; GO:0098978",NA
"307","A0A337SUI1","A0A337SUI1","CDH13","Cadherin 13","Predicted","1","plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","GO:0005509; GO:0005886; GO:0007156",NA
"308","A0A337ST48","A0A337ST48","CDH13","Cadherin 13","Predicted","1","membrane [GO:0016020]; calcium ion binding [GO:0005509]","GO:0005509; GO:0016020",NA
"309","A0A5F5XXK1","A0A5F5XXK1","CDH15","Cadherin 15","Predicted","3","adherens junction [GO:0005912]; catenin complex [GO:0016342]; caveola [GO:0005901]; Golgi apparatus [GO:0005794]; neuromuscular junction [GO:0031594]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell migration [GO:0016477]; cell morphogenesis [GO:0000902]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","GO:0000902; GO:0005509; GO:0005794; GO:0005901; GO:0005912; GO:0007043; GO:0007156; GO:0008013; GO:0016339; GO:0016342; GO:0016477; GO:0031594; GO:0034332; GO:0044331; GO:0045296",NA
"310","A0A337S9Q3","A0A337S9Q3","CDH16","Cadherin 16","Predicted","2","basolateral plasma membrane [GO:0016323]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","GO:0005509; GO:0005886; GO:0007155; GO:0007156; GO:0016323; GO:0016339",NA
"311","A0A5F5Y2W6","A0A5F5Y2W6","CDH17","Cadherin 17","Predicted","1","plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","GO:0005509; GO:0005886; GO:0007156",NA
"312","A0A337SSN3","A0A337SSN3","CDH19","Cadherin 19","Predicted","3","adherens junction [GO:0005912]; catenin complex [GO:0016342]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell migration [GO:0016477]; cell morphogenesis [GO:0000902]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","GO:0000902; GO:0005509; GO:0005912; GO:0007043; GO:0007156; GO:0008013; GO:0016339; GO:0016342; GO:0016477; GO:0034332; GO:0044331; GO:0045296",NA
"313","A0A2I2U9W3","A0A2I2U9W3","CDH2","Cadherin-2 (Neural cadherin)","Predicted","5","adherens junction [GO:0005912]; apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; apicolateral plasma membrane [GO:0016327]; basolateral plasma membrane [GO:0016323]; catenin complex [GO:0016342]; cell surface [GO:0009986]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; desmosome [GO:0030057]; fascia adherens [GO:0005916]; intercalated disc [GO:0014704]; lamellipodium [GO:0030027]; neuron projection [GO:0043005]; plasma membrane raft [GO:0044853]; postsynaptic density [GO:0014069]; postsynaptic specialization membrane [GO:0099634]; presynaptic active zone membrane [GO:0048787]; sarcolemma [GO:0042383]; alpha-catenin binding [GO:0045294]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; gamma-catenin binding [GO:0045295]; identical protein binding [GO:0042802]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; RNA binding [GO:0003723]; adherens junction organization [GO:0034332]; blood vessel morphogenesis [GO:0048514]; brain morphogenesis [GO:0048854]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell migration [GO:0016477]; cell morphogenesis [GO:0000902]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; cerebral cortex development [GO:0021987]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homeostasis of number of cells [GO:0048872]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; mesenchymal cell migration [GO:0090497]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; neural crest cell development [GO:0014032]; neuroepithelial cell differentiation [GO:0060563]; neuroligin clustering involved in postsynaptic membrane assembly [GO:0097118]; neuronal stem cell population maintenance [GO:0097150]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of synaptic vesicle clustering [GO:2000809]; protein localization to plasma membrane [GO:0072659]; radial glial cell differentiation [GO:0060019]; regulation of oligodendrocyte progenitor proliferation [GO:0070445]; regulation of postsynaptic density protein 95 clustering [GO:1902897]; striated muscle cell differentiation [GO:0051146]; synapse assembly [GO:0007416]; synaptic vesicle clustering [GO:0097091]; type B pancreatic cell development [GO:0003323]","GO:0000902; GO:0003323; GO:0003723; GO:0005509; GO:0005737; GO:0005912; GO:0005916; GO:0007043; GO:0007156; GO:0007157; GO:0007416; GO:0008013; GO:0009986; GO:0014032; GO:0014069; GO:0014704; GO:0016323; GO:0016324; GO:0016327; GO:0016339; GO:0016342; GO:0016477; GO:0019901; GO:0019903; GO:0021987; GO:0030027; GO:0030057; GO:0030864; GO:0034332; GO:0042383; GO:0042802; GO:0043005; GO:0043410; GO:0044331; GO:0044853; GO:0045177; GO:0045294; GO:0045295; GO:0045296; GO:0048514; GO:0048787; GO:0048854; GO:0048872; GO:0051146; GO:0060019; GO:0060563; GO:0070445; GO:0072659; GO:0090090; GO:0090497; GO:0097091; GO:0097118; GO:0097150; GO:0099634; GO:1902897; GO:2000809",NA
"314","A0A337SEZ0","A0A337SEZ0","CDH24","Cadherin 24","Predicted","3","adherens junction [GO:0005912]; catenin complex [GO:0016342]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell migration [GO:0016477]; cell morphogenesis [GO:0000902]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","GO:0000902; GO:0005509; GO:0005912; GO:0007043; GO:0007156; GO:0008013; GO:0016339; GO:0016342; GO:0016477; GO:0034332; GO:0044331; GO:0045296",NA
"315","A0A2I2UB75","A0A2I2UB75","CDH3","Cadherin 3","Predicted","4","adherens junction [GO:0005912]; catenin complex [GO:0016342]; cytoplasm [GO:0005737]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell migration [GO:0016477]; cell morphogenesis [GO:0000902]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; hair cycle process [GO:0022405]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; keratinization [GO:0031424]; negative regulation of timing of catagen [GO:0051796]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of gene expression [GO:0010628]; positive regulation of insulin-like growth factor receptor signaling pathway [GO:0043568]; positive regulation of keratinocyte proliferation [GO:0010838]; positive regulation of melanin biosynthetic process [GO:0048023]; positive regulation of melanosome transport [GO:1902910]; retina homeostasis [GO:0001895]","GO:0000902; GO:0001895; GO:0005509; GO:0005737; GO:0005912; GO:0007043; GO:0007156; GO:0008013; GO:0010628; GO:0010838; GO:0016339; GO:0016342; GO:0016477; GO:0022405; GO:0030512; GO:0031424; GO:0034332; GO:0043568; GO:0044331; GO:0045296; GO:0048023; GO:0051796; GO:0090263; GO:1902910",NA
